name,regime,sco_score,rso_risk,too_asymmetry,PC1,PC2,PC3,regime_cluster
stable_system,non_convergent_system,23.59118245984872,0.018345408207858935,0.06803834702215972,1.8024870491252238,-0.525972571904764,1.0317239203472612,2
chaotic_system,non_convergent_system,12.766687966158074,0.8670572749395238,0.08591989468874717,0.48648329598847057,1.496720349157424,0.09029878333682248,0
degenerate_system,non_convergent_system,5.915127175297111,0.038278820123429695,-0.0029629892881194997,0.14678313493350795,-0.6539077854608621,-0.6274999311864694,0
stable_system,non_convergent_system,25.987306697109343,0.025103872221565092,0.025344200688354024,2.022170040295526,-0.4851114136936741,1.2588454969634615,2
chaotic_system,non_convergent_system,13.022565560963164,0.8670572749395238,0.008578581696015997,0.5083597687333211,1.498937070877632,0.11634968912753083,0
degenerate_system,non_convergent_system,7.262779239505167,0.038278820123429695,-0.06783589786161032,0.2706833691644412,-0.6406599517334561,-0.49906053780787474,0
stable_system,non_convergent_system,1.370998164932171,0.021916569724679476,-27.781491148437066,-0.9747886790817218,-0.8682515714606042,-0.34551153028399695,0
chaotic_system,non_convergent_system,2.972265589620244,0.8670572749395238,-31.418409432790604,-1.2245847423324678,1.2535837736262374,-0.024779841103470732,0
degenerate_system,non_convergent_system,1.624635591872198,0.038278820123429695,-25.91296591714441,-0.9097321945813615,-0.8160293138224465,-0.3679829276440834,0
stable_system,non_convergent_system,26.017843077452962,0.02540902820694176,0.32992075322227865,2.0326250318610777,-0.48263930734038407,1.2539506491494798,2
chaotic_system,non_convergent_system,12.940067251862047,0.8670572749395238,0.3869708160607642,0.5102666589573178,1.4998456796153787,0.09890416931001031,0
degenerate_system,non_convergent_system,5.781610321754083,0.038278820123429695,0.2596726574568773,0.14100279139456043,-0.6540436158903583,-0.6467822953976513,0
stable_system,non_convergent_system,17.082196297555402,0.025002817034660514,0.4523092737041797,1.2034467461711411,-0.5729130073926589,0.41016908398176594,2
chaotic_system,non_convergent_system,9.804050158504808,0.8670572749395238,0.5595922343500387,0.22249708808175514,1.469117148738505,-0.20053161235568615,0
degenerate_system,non_convergent_system,4.774905151649604,0.038278820123429695,0.37785198852113844,0.05021586093026162,-0.6636196412330357,-0.7445117716083469,0
stable_system,non_convergent_system,15.481999731566072,0.023968083232193117,1.3082695301397456,1.0764496649495954,-0.5876646375845398,0.23763043548821403,2
chaotic_system,non_convergent_system,9.56404280025084,0.8670572749395238,1.549153771677398,0.22522392824706491,1.4712494727852286,-0.248436910793875,0
degenerate_system,non_convergent_system,5.7230962959881895,0.038278820123429695,1.2132124379585427,0.1597240590336376,-0.6502524680499906,-0.6766918469433192,0
stable_system,non_convergent_system,0.413106924936189,0.02915733823607698,-86.06678322525846,-2.544190123282225,-1.1273808107943335,1.0567896775108858,1
chaotic_system,non_convergent_system,2.477072843186093,0.8670572749395238,-100.51388582944084,-3.0222930031582713,0.93127357121735,1.6970653955541204,1
degenerate_system,non_convergent_system,1.4706872934594155,0.038278820123429695,-83.04226395276167,-2.3723069740208693,-1.079952809100447,1.0797021080349305,1
stable_system,non_convergent_system,5.520109289410343,0.02739423372013279,2.8869193589443376,0.18719370822710898,-0.6719409819843796,-0.7396163360997681,0
chaotic_system,non_convergent_system,5.057147346759342,0.8670572749395238,3.634528766516098,-0.14176564154311752,1.4355263606243072,-0.7257917446977935,0
degenerate_system,non_convergent_system,3.7031811209294037,0.038278820123429695,2.742955876506848,0.010331649162114072,-0.6635298099004037,-0.9058656323894253,0
stable_system,non_convergent_system,1.9277779764738587,0.025605783205745303,-14.639821715012719,-0.5911166284915592,-0.7930348865270712,-0.629144812268344,0
chaotic_system,non_convergent_system,2.409606187601773,0.8670572749395238,-16.967161029204657,-0.910660502053352,1.3142981029716907,-0.4475767996774568,0
degenerate_system,non_convergent_system,1.6345290915291795,0.038278820123429695,-15.058532600394093,-0.633649598069897,-0.766079023438674,-0.6448606327445521,0
stable_system,non_convergent_system,21.671619749148864,0.02883436512192232,1.198360702743753,1.648510622214793,-0.513734206974636,0.8231692517003885,2
chaotic_system,non_convergent_system,12.060644210482508,0.8670572749395238,1.4509211150995647,0.45531248140517994,1.495892631733057,-0.01105743383975558,0
degenerate_system,non_convergent_system,5.794572524428499,0.038278820123429695,1.1713382677628503,0.16532113773874377,-0.6497263470600928,-0.668896063663002,0
