Signal,Runs,m,tau,M_mean_mean,M_mean_std,M_mean_ci95,D_local_mean,D_local_std,D_local_ci95,TE_fwd_mean,TE_fwd_std,TE_fwd_ci95
gaussian_white_noise,100,1,1,0.06685256814912013,0.031678494242471524,0.0062089848715244185,1.1278091951814113,0.010127596343177689,0.001985008883262827,0.009272647213821338,0.014148006330148068,0.002773009240709021
gaussian_white_noise,100,2,1,0.06666845620549848,0.031539510184328656,0.006181743996128417,2.290951344957955,0.026196757958217548,0.005134564559810639,0.00937438321547174,0.014190810035709416,0.0027813987669990455
gaussian_white_noise,100,2,5,0.06625649052155512,0.03157263245501484,0.006188235961182909,2.2902277126338797,0.025043057288904255,0.004908439228625234,0.009080636669866488,0.013910418633615007,0.0027264420521885416
gaussian_white_noise,100,2,10,0.06702632742390206,0.03196948228906732,0.006266018528657194,2.286909227225649,0.02666068732645754,0.005225494715985678,0.009383473118914,0.014719072692830525,0.002884938247794783
gaussian_white_noise,100,3,1,0.06646126234391078,0.03154007084340137,0.006181853885306669,3.447663922471932,0.04803741926696338,0.009415334176324822,0.009166310479138264,0.013751280699614158,0.002695251017124375
gaussian_white_noise,100,3,5,0.06702632742390206,0.03196948228906732,0.006266018528657194,3.453291601296667,0.04600606848790063,0.009017189423628523,0.009383473118914,0.014719072692830525,0.002884938247794783
gaussian_white_noise,100,3,10,0.06808987385694378,0.032065987447750396,0.006284933539759077,3.452452711060894,0.04655584676867943,0.009124945966661168,0.009255682685289247,0.014733422957048166,0.0028877508995814407
gaussian_white_noise,100,4,1,0.06642327529867967,0.03167237314524629,0.006207785136468273,4.582535991419097,0.07027144012126238,0.013773202263767426,0.009154467468463849,0.01386410000423987,0.0027173636008310147
gaussian_white_noise,100,4,5,0.06687903366451665,0.0317992768476312,0.006232658262135716,4.570826719084634,0.06442121373444429,0.012626557891951079,0.009128281172327357,0.014454954978934273,0.0028331711758711174
gaussian_white_noise,100,4,10,0.06840083900511867,0.031364640824997445,0.006147469601699499,4.5768268670026995,0.06461847202497942,0.012665220516895967,0.009704818040318046,0.014663973319505953,0.002874138770623167
gaussian_white_noise,100,5,1,0.06630246256664578,0.031728677291828815,0.006218820749198448,5.65778545739969,0.09639737081555932,0.018893884679849628,0.009183497076052266,0.01393516269834727,0.0027312918888760646
gaussian_white_noise,100,5,5,0.06808987385694378,0.032065987447750396,0.006284933539759077,5.650596339332351,0.07862059719863711,0.015409637050932873,0.009255682685289247,0.014733422957048166,0.0028877508995814407
gaussian_white_noise,100,5,10,0.06801291510672906,0.03208707554636235,0.006289066807087021,5.657037010953255,0.09811742617478433,0.019231015530257727,0.009774862223157613,0.013938472076875999,0.002731940527067696
pink_noise,100,1,1,1.8026907520922029,0.5648675180191468,0.11071403353175277,1.1295518253181165,0.01054094407890191,0.0020660250394647743,0.010816331089507756,0.014458222661863435,0.002833811641725233
pink_noise,100,2,1,1.803257739160976,0.5643828739260699,0.1106190432895097,2.2909560237567757,0.024611070561011562,0.004823769829958266,0.010936694037988132,0.014670586823514159,0.0028754350174087753
pink_noise,100,2,5,1.8041975303007909,0.56532961638964,0.11080460481236942,2.28166005000981,0.02511097093965136,0.004921750304171667,0.010647377903906961,0.014808656794375406,0.0029024967316975793
pink_noise,100,2,10,1.80512429766338,0.5655138605003316,0.11084071665806498,2.2856226752437334,0.028213531061266034,0.0055298520880081425,0.011057057564644101,0.015101960066488167,0.0029599841730316807
pink_noise,100,3,1,1.8039864846857443,0.5646927588549571,0.11067978073557158,3.4386716156297115,0.04768853771652038,0.009346953392437993,0.011048508264756705,0.014918384904210347,0.002924003441225228
pink_noise,100,3,5,1.80512429766338,0.5655138605003316,0.11084071665806498,3.438150822860786,0.0457684281401176,0.008970611915463049,0.011057057564644101,0.015101960066488167,0.0029599841730316807
pink_noise,100,3,10,1.797876945985676,0.5644186171030652,0.11062604895220078,3.4327184657464307,0.04410312572188438,0.008644212641489337,0.011204043100508772,0.015976523070653625,0.0031313985218481104
pink_noise,100,4,1,1.8040233526589557,0.5650746305825675,0.11075462759418322,4.496187693462688,0.06544988684467669,0.01282817782155663,0.010984447488479624,0.014667585758294787,0.0028748468086257782
pink_noise,100,4,5,1.802236783412802,0.5639865572133721,0.11054136521382092,4.5071993993115544,0.06693667213091804,0.013119587737659935,0.011102886476081913,0.015488327077961071,0.00303571210728037
pink_noise,100,4,10,1.796846804501171,0.5616845988423118,0.11009018137309312,4.516994768659975,0.06859520187642713,0.013444659567779719,0.010580244769364432,0.015944631885700875,0.003125147849597371
pink_noise,100,5,1,1.8045129791865449,0.5650576923048269,0.11075130769174608,5.479020213236904,0.08922985498338071,0.017489051576742617,0.011084143848092629,0.014919816148091848,0.0029242839650260024
pink_noise,100,5,5,1.797876945985676,0.5644186171030652,0.11062604895220078,5.5086707648968805,0.09921270604181386,0.019445690384195517,0.011204043100508772,0.015976523070653625,0.0031313985218481104
