dataset,iccs_complexity,baseline_complexity,iccs_stability,baseline_stability,ari_iccs_pca_gmm,ari_iccs_spectral
logistic_map,2,3,0.001388888888888889,0.0011185682326621924,0.3942589296400448,0.31929085734401447
lorenz_system,2,3,0.047619047619047616,0.0196078431372549,0.3625924828194633,0.5105086542601024
brownian_motion,2,3,0.01282051282051282,0.012987012987012988,0.08753752886568773,0.31992579591733933
shuffled_logistic,2,3,0.001949317738791423,0.0015698587127158557,0.3942589296400448,0.31929085734401447
