Dataset,Clusters,Stability,Entropy
Gaussian Noise,3,0.0012531328320802004,2.7190473675412177
Random Walk,3,0.03125,1.782642884559047
Logistic (Stable),3,0.001002004008016032,1.0104347251506447
Logistic (Chaos),3,0.0010131712259371835,2.1254838871506494
Lorenz,3,0.05,1.5975250698922805
Shuffled Lorenz,3,0.0016207455429497568,2.893134334093223
