dataset,iccs_complexity,baseline_complexity,iccs_stability,baseline_stability,ari_iccs_pca_gmm,ari_iccs_spectral
logistic_map,2,3,0.001388888888888889,0.0011185682326621924,0.3942589296400448,0.31929085734401447
lorenz_system,2,3,0.047619047619047616,0.0196078431372549,0.3625924828194633,0.5105086542601024
brownian_motion,2,3,0.017857142857142856,0.018867924528301886,0.46179246214139563,0.35600172308913297
shuffled_logistic,2,3,0.0019455252918287938,0.0017006802721088435,0.3765543959284935,0.31929085734401447
