Dataset,Clusters,Stability,Entropy
Gaussian Noise,3,0.0014388489208633094,2.8526470783311195
Random Walk,3,0.05263157894736842,1.7092328673649964
Logistic (Stable),3,0.001002004008016032,1.0104347251506447
Logistic (Chaos),3,0.0010131712259371835,2.1254838871506494
Lorenz,3,0.05,1.5975250698922805
Shuffled Lorenz,3,0.0017241379310344827,2.8926955265732803
