engine,phase,representation,dim,M,D_local,TE_forward,TE_reverse,CMI
14,Late,Raw,3,7.321821210915228,2.862945408696531,0.06647529748918357,0.02173924188608556,0.16496548847857007
14,Late,Rolling,3,13.867918004280748,1.5399978476985554,0.0,0.039728614793088646,0.6367210468699795
14,Late,PCA-2,2,7.7353497190298555,2.0892883377719027,0.0,0.0,nan
14,Late,PCA-1,1,7.7353497190298555,1.116019536098278,nan,nan,nan
15,Early,Raw,3,0.10824772236115665,3.3252174930202827,0.018392705160892753,0.06358265013363562,0.0
15,Early,Rolling,3,1.5238734960976266,3.2045144717554495,0.10163125290255781,0.2065947594201738,0.0540499264605625
15,Early,PCA-2,2,0.06682829020192838,2.455697444095655,0.0,0.08080003296994409,nan
15,Early,PCA-1,1,0.06682829020192838,1.168337409890192,nan,nan,nan
15,Late,Raw,3,1.1583122961590213,3.157304658072426,0.03106673233605095,0.11767093678808127,0.299205123612317
15,Late,Rolling,3,6.8426749216244485,1.9766728945336325,0.0,0.06971462744808399,0.37488587484198854
15,Late,PCA-2,2,5.051851461122309,2.2999013928137546,0.10170412827611042,0.0,nan
15,Late,PCA-1,1,5.051851461122309,1.1257317563470894,nan,nan,nan
16,Early,Raw,3,0.1314341622338535,3.3415522101755264,0.0,0.0057318877379524125,0.0
16,Early,Rolling,3,4.840138844728191,2.912707706390594,0.0,0.0,0.25323201118040384
16,Early,PCA-2,2,0.07671648370026585,2.435506373541356,0.005332285219838084,0.0,nan
16,Early,PCA-1,1,0.07671648370026585,1.1953365409010455,nan,nan,nan
16,Late,Raw,3,0.05026370035939509,3.565936583013763,0.06821826953833376,0.020550989869571712,0.0
16,Late,Rolling,3,1.2166921271093152,2.503742858224655,0.12535276474339252,0.14467686436840532,0.08800577480265437
16,Late,PCA-2,2,2.6194474532136853,2.3557641444352555,0.0,0.0,nan
16,Late,PCA-1,1,2.6194474532136853,1.158631898146481,nan,nan,nan
17,Early,Raw,3,0.16006646565007987,3.7481675974186257,0.0,0.0,0.0
17,Early,Rolling,3,2.2980792656111295,2.7726606945662735,0.025800795149677036,0.0035929288268712334,0.3020197623380203
17,Early,PCA-2,2,0.11699952417455117,2.4264415029452246,0.003688571353643866,0.0,nan
17,Early,PCA-1,1,0.11699952417455117,1.2155286825199356,nan,nan,nan
17,Late,Raw,3,11.742185775274049,2.948817416818996,0.05248077341701718,0.09736984628242595,0.4009522370520333
17,Late,Rolling,3,17.96595116220242,1.5397934977266816,0.0,0.0,0.8506269191016784
17,Late,PCA-2,2,11.961103839738168,2.069008323689007,0.051431547951799494,0.0,nan
17,Late,PCA-1,1,11.961103839738168,1.1031737295681678,nan,nan,nan
18,Early,Raw,3,0.08389429130923842,3.24767157927307,0.037094892478026775,0.0,0.08189733062061055
18,Early,Rolling,3,1.3314500363946284,3.0487086610422085,0.0,0.1286161081104149,0.26292472121303323
