m,tau,Pair,d,d_ci_lower,d_ci_upper,Overlap,AUC,AUC_ci_lower,AUC_ci_upper,P_val
1,1,White-Pink,0.1685926261364669,0.006239813873291027,0.4731157403169407,0.6600000000000001,0.5525,0.5035975,0.6294150000000001,0.23176823176823177
1,1,White-AR1_05,0.20441080378784884,0.010947606150386036,0.4979630226608654,0.590000000000005,0.552,0.5026974999999999,0.6359,0.14585414585414586
1,1,White-AR1_09,0.1614448257142489,0.00944175457267929,0.4566766580501334,0.6899999999999992,0.5566999999999999,0.503895,0.640025,0.26173826173826176
1,1,AR1_09-Pink,0.0045578864526980584,0.004496619803355941,0.32229510318805293,0.7200000000000005,0.501,0.5011975000000001,0.5884475,0.965034965034965
1,1,AR1_09-Lorenz,1.9888435601610872,1.647540759769019,2.413746021997159,0.0199999999999997,0.9299999999999999,0.88,0.98,0.001998001998001998
1,1,Pink-Lorenz,2.0395389698924333,1.722068792347962,2.474586778234921,0.010000000000002073,0.92,0.86,0.97,0.001998001998001998
1,1,White-Lorenz,2.3661209027202474,2.0114984373460043,2.854619033658974,0.010000000000000415,0.94,0.89,0.9800000000000001,0.001998001998001998
2,1,White-Pink,0.000184086664085156,0.0033678358088605406,0.3219154792506764,0.660000000000001,0.5013,0.5016,0.5909025,0.961038961038961
2,1,White-AR1_05,0.11768149424303039,0.00633303000911526,0.37732526347175493,0.6099999999999892,0.5366,0.501895,0.6164999999999999,0.37162837162837165
2,1,White-AR1_09,0.042487296486229446,0.005547267717829909,0.3430684907795344,0.6399999999999998,0.51,0.5018,0.5929050000000001,0.7552447552447552
2,1,AR1_09-Pink,0.04363653795947073,0.0047285345258537125,0.3391756035499107,0.6400000000000046,0.5105999999999999,0.5017975,0.5913025,0.7372627372627373
2,1,AR1_09-Lorenz,10.611178684967182,9.690998797983275,12.01779948276052,0.0,1.0,0.9999999999999999,1.0,0.001998001998001998
2,1,Pink-Lorenz,11.105808447418228,9.980641308945911,12.579098329192949,0.0,1.0,0.9999999999999999,1.0,0.001998001998001998
2,1,White-Lorenz,10.433827445105498,9.358897576557796,12.051657024598612,0.0,1.0,0.9999999999999999,1.0,0.001998001998001998
2,5,White-Pink,0.3416537044738109,0.062148782422742674,0.6416138224801403,0.6899999999999975,0.6031,0.5246974999999999,0.6867000000000001,0.011988011988011988
2,5,White-AR1_05,0.11169984716698289,0.005561000661173654,0.3921503863449412,0.6900000000000006,0.5345,0.5014000000000001,0.61001,0.4175824175824176
2,5,White-AR1_09,0.3591836752610943,0.09128998994304474,0.6656590033622791,0.6499999999999954,0.602,0.5270349999999999,0.6838175,0.015984015984015984
2,5,AR1_09-Pink,0.012686621436082353,0.004367797907398311,0.32915905375974286,0.6499999999999987,0.5062,0.5016975,0.5976024999999999,0.9150849150849151
2,5,AR1_09-Lorenz,5.782043526218328,5.173245155983911,6.662382847470141,0.0,1.0,0.9999999999999999,1.0,0.001998001998001998
2,5,Pink-Lorenz,5.602579463899137,4.876681981719125,6.627479012025974,0.0,1.0,0.9999999999999999,1.0,0.001998001998001998
