Log_Return,D_local,M,TE_forward,TE_reverse,CMI
0.0103150066850821,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0092992225565978,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0024272114901083,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0093373822745659,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0128102316334387,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0107882007667555,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0101144134828777,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.012722634853705,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0187614583142497,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0018575659755995,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0048539621542571,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0095339146837254,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0045462435995835,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0034914916789329,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0072259047243183,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0021936351741756,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0122618320360298,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0251745769022458,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0076976960363779,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0191436095170639,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0089497862293909,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0046707582372403,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
-0.0092932599448376,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.004707389585218,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
0.0052075664366063,1.1308478425132926,0.015165788804607061,0.0,2.274687445794288,0.011179508896720591
