engine,phase,noise,repeat,M,D_local,TE_forward,TE_reverse,CMI,valid
1,Early,0.0,0,0.03921678450803423,3.472192446538132,0.0420828432640068,0.011734720861103831,0.0,True
1,Early,0.05,0,0.029304145434085438,3.350125435829705,0.10559426847873965,0.0,0.0,True
1,Early,0.05,1,0.024939346716368327,3.3781645149334403,0.0,0.0,0.0,True
1,Early,0.05,2,0.02616797453375641,3.455998510889647,0.03076685038749849,0.022950208703643504,0.0,True
1,Early,0.05,3,0.042612884948395546,3.404517118120773,0.0026336980728172144,0.0,0.0,True
1,Early,0.05,4,0.03852530432220336,3.4478565496693414,0.07654056396233466,0.021442877974221286,0.0,True
1,Early,0.1,0,0.00956561584142035,3.18708693139241,0.0,0.03432538462704349,0.002977232231542004,True
1,Early,0.1,1,0.021281488957282324,3.332316868329446,0.05285691119003966,0.08958527607354894,0.0,True
1,Early,0.1,2,0.031671736257705696,3.2697122789126793,0.10472967323426241,0.011456438564789284,0.0,True
1,Early,0.1,3,0.06902982957588621,3.3799078454318536,0.02512555230508484,0.0,0.0,True
1,Early,0.1,4,0.0961518811117652,3.4179457893105627,0.06286118352887105,0.028039032090628968,0.0,True
1,Early,0.2,0,0.0756300678288997,3.228754226343224,0.0,0.0,0.022546082120933786,True
1,Early,0.2,1,0.062335919754056945,3.373181311186485,0.05376810565539314,0.0,0.0,True
1,Early,0.2,2,0.09787752571826491,3.4345281826465484,0.03517920746575598,0.0,0.0,True
1,Early,0.2,3,0.07459193342184145,3.396711847106365,0.0,0.0,0.0,True
1,Early,0.2,4,0.03500365527936289,3.3366483178117026,0.047097720644699415,0.0,0.0,True
1,Late,0.0,0,0.11587104088957911,3.4262302107164957,0.0,0.09687240735535463,0.0,True
1,Late,0.05,0,0.16797098483851913,3.3308135583466094,0.053556952626325316,0.051142104579949166,0.026628159272841234,True
1,Late,0.05,1,0.10547333624975419,3.3468968550868365,0.00851385728631504,0.12713575124708987,0.03846421176173864,True
1,Late,0.05,2,0.1485898050490846,3.3303329191041935,0.02239272728854269,0.04588132947870838,0.09601166571183439,True
1,Late,0.05,3,0.15811788062016152,3.2419592418827885,0.028353398001479402,0.0,0.0,True
1,Late,0.05,4,0.11257531911262353,3.276332094527253,0.032062303741355436,0.08798548728706379,0.0,True
1,Late,0.1,0,0.05414277281223212,3.2761301069263626,0.1876311136587656,0.012861341946547089,0.0,True
1,Late,0.1,1,0.12186334639257534,3.4386869516424525,0.022606816796035822,0.10390707212776817,0.0,True
1,Late,0.1,2,0.1622868023398305,3.291310732360503,0.15762335393743054,0.0,0.0,True
1,Late,0.1,3,0.08616592461695038,3.224454818983977,0.08863699844099715,0.12491315713384532,0.0048074036004752685,True
