engine,phase,var_x,var_y,var_z,corr_xy,corr_xz,h_x,h_y,h_z,mi_xy,mi_xz,pca_1_var_ratio,pca_2_var_ratio
1,Early,20.679814965985972,7.563577072310407,17.911640110859228,0.006365773385792562,0.020009807765059458,3.05397255427269,3.1127797988543686,3.0730653207957683,0.02977020134097641,0.0,0.40033874170349865,0.7340909259723792
1,Late,23.890965248385594,55.92698797059469,29.1743390510135,0.2798515197994191,0.24108602914714172,2.961298641161746,3.136435072586576,3.095292003528569,0.0,0.0,0.5758939451773766,0.8476209443337908
2,Early,14.82215193526464,15.930562980986853,14.386283974649226,0.03747825924531976,0.020025507385007812,3.135187906783301,3.086351764324865,3.037638981373805,0.0,0.023428233089774153,0.36937849130532047,0.6981717961039616
2,Late,129.27509135802535,68.26424921946717,31.91576010611165,0.8443154321447807,0.6161613523668134,3.0720941955792083,3.1676724844037993,3.082907056772015,0.6258194833030077,0.2804602569729786,0.7984321454408151,0.9481302533059099
3,Early,17.255037575409315,13.608593277793702,12.608915771330077,0.1294837919558945,0.09098195049283866,2.9896093565234025,3.117133787343581,3.127175645187787,0.0,0.0,0.37856961868448935,0.7293425650501528
3,Late,1193.8217754422467,63.89030460457853,39.56702947450574,0.8389495748991885,0.7913405398078642,3.108438160313245,2.9095446084089436,2.9969290193412066,0.5942009072009835,0.3556412307135677,0.825247059651363,0.9675958350555518
4,Early,11.864391571280036,15.920801586888611,16.06293829344426,0.053850490181719154,0.057935435456337905,3.102520416114082,2.91297128755264,2.8586188998940965,0.0,0.0,0.4002658780474544,0.7232443810337406
4,Late,1349.5847949494948,65.90271790633606,42.442042079889696,0.8482189641200697,0.8293547087943935,3.1379722936659107,3.094475108392914,2.9980915544570887,0.6950097730209075,0.5731186873376082,0.8789550588521876,0.9536839831555657
5,Early,18.193678254132646,15.45375225981412,16.000483884297594,0.0655954599434215,0.023087786005424042,2.9931232505529812,2.996748763503302,3.0661258273393073,0.0,0.0,0.3746351535227975,0.7145237179370569
5,Late,402.0091579835822,67.5971799051915,43.8544147300267,0.8344566064936988,0.7504965981432442,3.14596755198788,3.1521661166916792,3.182895291816765,0.7397476015696185,0.5859590957482652,0.8278728498152303,0.9523745114432187
6,Early,14.810856087409087,13.187495031217518,9.63127981269514,0.2819847068065712,0.061988609864251434,2.8623036934791846,3.1501984611529883,2.9907224837657105,0.13535888199790502,0.062172042710716635,0.4292566533784422,0.7768940224911548
6,Late,23.717889940828343,35.79198286390526,27.89871446153843,0.43276365086647733,0.2668019736630195,2.952279652543568,2.96875212368932,3.1239654426665693,0.06235489442046038,0.0,0.6191151698579391,0.8678544449177703
7,Early,18.449167003459955,16.925999944636565,10.50342873356403,0.05645796622220398,0.028129528008441124,2.8675644765691213,3.1446574532005465,2.9500785261694933,0.03636545242464484,0.0,0.41660211296332544,0.7457283601605585
7,Late,18.373990728394894,60.55472569135809,22.08345517283941,0.21057158411838178,0.2343328987241347,3.0381339669479495,3.0321967767795455,2.9322805746689693,0.0,0.011419457091714769,0.5540149604788723,0.8377255690818511
8,Early,17.331648812994654,18.417557850895335,15.949264972927978,0.06665060249182957,0.006436179595310805,2.955635777916584,2.9210013208153702,3.124199934428789,0.0,0.01246449341615996,0.37978455337061845,0.711291030855679
8,Late,16.321811649409256,27.554728402366884,27.600601590236693,0.17179040889749445,0.07036574116671389,3.0429681067759753,3.0709587958177385,2.8982769256529446,0.0,0.010412971973797092,0.5067813890741804,0.8250052239862038
9,Early,16.642432621670803,14.037094123048679,15.59795328282834,0.20925719788992417,0.012916038827489228,2.8576699712102727,3.0496866418411464,3.0360008289675338,0.0,0.0,0.40324262966610086,0.7376612061415271
9,Late,1601.243165632656,76.87880655102042,29.9552760000001,0.85778299023166,0.6650761662456541,3.06478007724353,3.0526094023013273,3.012613819601376,0.7621492839354724,0.33221615636872937,0.8074909197983626,0.9542668886782198
10,Early,19.65008827172102,13.47075976731088,16.440153499718594,0.12039200602476677,0.01997522071046694,2.9313907243823913,2.901745299531986,2.925390401377348,0.0,0.0,0.3760215445896809,0.7068247213646122
10,Late,218.8900182830139,53.95467647158038,42.75864260414911,0.8162774254314608,0.7207298819104778,3.1198041868318516,2.9877353478951787,2.9588765935113557,0.5085358627483552,0.4655055294180106,0.8223364810883561,0.9412448538721953
11,Early,18.245452523634306,15.066136196122383,17.393198718154103,0.07816300799365755,0.03200871974359086,3.0795822767485186,3.000444610186279,2.8955235705662443,0.0062670230404680005,0.0,0.37786196642768854,0.7207332438212262
11,Late,622.0149964581228,58.191668224706135,39.4562300769343,0.7875765281687107,0.7111478323858862,3.085802423622319,3.1316817734821307,3.066733202264723,0.46583219468710446,0.4130627285616404,0.796103621909254,0.9390094041281136
12,Early,18.047589158163564,12.774653284438715,15.807975382653154,0.0327211105217496,0.04938733847848655,2.705017283851227,3.0609345909844814,3.0829318825502794,0.0,0.0,0.3558360317516075,0.6995531563519819
12,Late,13.511094915254372,37.465176156277145,26.928339902326936,0.1112340045603811,0.11020639878444129,2.9392035284258005,3.090224473841449,3.0744233266143652,0.0,0.016110046521404797,0.4267577593546495,0.7309327908593788
13,Early,18.153168173727018,9.582103453186017,14.424865646137434,0.05742409523490989,0.04864824320322522,3.0465857956542326,2.9235206586171554,2.889984642797935,0.0,0.10352943471936227,0.3624518477283592,0.6883446184272541
13,Late,566.9911216989867,37.652778824253744,37.07351843644188,0.8022354544518051,0.7712221126601931,3.133801469999386,3.091629775053563,2.940056807071504,0.5575271790656462,0.3807685991222849,0.8352762557869945,0.9414389047749779
14,Early,15.856290491238026,15.365433151393264,12.80302292444701,0.20087289795238047,0.05344367140987321,2.8397616563453987,2.5385895350684797,3.0126142772753655,0.0,0.01769509291151783,0.41648654660471235,0.767588943336765
14,Late,328.8808271101058,31.02442529604422,22.675272461577322,0.6696278718670898,0.6116901804019549,3.078074586456636,3.035802367077422,3.093687032331394,0.21871605597402555,0.24413101553208483,0.7335690124323914,0.8966814785726762
15,Early,15.555635380622475,15.007497837370146,16.553873075259595,0.09799031444379323,0.036168377171584644,2.9181773589218896,2.946258866346679,3.026950850859039,0.023213165559204718,0.04363908934116267,0.39828380238009375,0.7205718263947335
15,Late,25.683389737654945,75.5489749228396,36.34855277777779,0.6591179603629311,0.5247405735537294,2.9011152131112348,3.122254491244174,3.02679130641139,0.36155279731486534,0.3357300482877137,0.7628652626491025,0.9240224788849511
16,Early,21.0256891652254,17.308113559688678,16.867556228373704,0.052182017838966095,0.08639362729404343,2.9412618358528615,2.9439596310023197,2.8973641471887084,0.0,0.0,0.3641806105609597,0.7037402830903159
16,Late,17.675629198725016,38.05641463689241,24.226446725464445,0.05526255350564945,0.20121811452568472,2.904437976733612,3.0145198420296087,2.9912475688269757,0.0,0.0,0.4323591428238199,0.7836263748090441
17,Early,15.025538582296528,14.644665426880772,12.74909056877184,0.2818879416493664,0.05744782843076448,2.956646102357914,3.014411989990896,3.056082132221803,0.05645538195481903,0.0,0.4272959968746385,0.7678564670127244
17,Late,742.6821811634346,67.24816303601092,34.83245003878116,0.8643813443540838,0.7175662131546063,3.1306784022635448,3.0965255552920206,3.1429629723717403,0.5910871586065851,0.3312151390252658,0.8362775749890873,0.9556995096609301
18,Early,20.14349216308631,17.498956420898445,15.134611621093708,0.12149429794776542,0.13372721336618962,3.1176572572728998,3.0920484150801637,3.0661598062415862,0.06990751008635865,0.0,0.42344446047846457,0.7171669497289368
18,Late,1573.8300618512094,71.01946773356403,39.164733650519175,0.8671462805715179,0.8185678625946051,3.0872997167196883,3.0931079266965766,3.0799895406069875,0.723802209154623,0.5755926607715587,0.8525438946795568,0.9716796901249535
19,Early,16.431638572484882,15.701878994082843,10.191271301775133,0.03756008382169535,0.25280057011743773,2.9825567446115953,2.7260241394684095,2.763648208832861,0.0,0.0,0.41870782467857637,0.7589799797266745
19,Late,12.155652694214519,31.36292905785113,24.39277897520653,0.11316038222658499,0.09412586724163735,2.7553572763758014,3.068064248836389,3.0861584285422103,0.0,0.01227707141567791,0.49602755130053433,0.814826474215161
20,Early,15.505990015180224,14.431138944172732,16.508672659807765,0.04702175021328867,0.1310320123489325,3.0827272315484393,2.972259621981176,2.948131781682148,0.0,0.06683303230769333,0.37898639218088814,0.7139179970065425
20,Late,25.433723456790446,38.088674074074135,16.48041591220856,0.4996496954776618,0.29667424543832965,3.1699440403865777,2.9612866987172914,2.853990703918716,0.28644932329123485,0.018409464875257964,0.6334109117743136,0.8683414247749939
