Signal,m,tau,run,N_eff,M_mean,D_local,TE_fwd
gaussian_white_noise,1,1,37,1000,0.10533972842166506,1.1349217118118515,0.0
gaussian_white_noise,1,1,38,1000,0.026110063612439838,1.1253744950496842,0.016254060409774063
gaussian_white_noise,1,1,39,1000,0.03277921802308015,1.1211592005144164,0.0
gaussian_white_noise,1,1,40,1000,0.08875595768789957,1.1230070035816675,0.010762380172339547
gaussian_white_noise,1,1,41,1000,0.04630689184117198,1.139056161365023,0.037927269754559845
gaussian_white_noise,1,1,42,1000,0.07063977735497584,1.1287425823916049,0.0
gaussian_white_noise,1,1,43,1000,0.07424019624498168,1.1073763086494264,0.006157606391339332
gaussian_white_noise,1,1,44,1000,0.11819286602478396,1.113060414890208,0.0459382894687117
gaussian_white_noise,1,1,45,1000,0.12304801042531643,1.1148920346079152,0.012577683635182968
gaussian_white_noise,1,1,46,1000,0.04860108043108902,1.120474358571168,0.026503806848750422
gaussian_white_noise,1,1,47,1000,0.03910272811828808,1.1264687197168592,0.006567195391768088
gaussian_white_noise,1,1,48,1000,0.06371252315672926,1.121798357716651,0.0
gaussian_white_noise,1,1,49,1000,0.010612585519778506,1.1443390970250695,0.00298712611254226
gaussian_white_noise,1,1,50,1000,0.06836480479580498,1.1364406914056027,0.006840193043577081
gaussian_white_noise,1,1,51,1000,0.07859727907811109,1.1111368133571615,0.017174534572420797
gaussian_white_noise,1,1,52,1000,0.13470246821239495,1.1425644016809484,0.009262095240913926
gaussian_white_noise,1,1,53,1000,0.061631282914576424,1.128741210579743,0.024341253968124477
gaussian_white_noise,1,1,54,1000,0.08391224733815061,1.1189281842985557,0.0
gaussian_white_noise,1,1,55,1000,0.014652404188304935,1.1273734280697258,0.0
gaussian_white_noise,1,1,56,1000,0.04781412347601588,1.126983924327276,0.0
gaussian_white_noise,1,1,57,1000,0.11361153036573857,1.127492790399165,0.0
gaussian_white_noise,1,1,58,1000,0.04818695385795646,1.1419865455694889,0.0
gaussian_white_noise,1,1,59,1000,0.01921950766966951,1.125195862949321,0.0
gaussian_white_noise,1,1,60,1000,0.02179532041792509,1.1236766315452147,0.014093716203300133
gaussian_white_noise,1,1,61,1000,0.07532512586486106,1.1159242188757794,0.0
gaussian_white_noise,1,1,62,1000,0.05532732596524337,1.1122440410858134,0.0
gaussian_white_noise,1,1,63,1000,0.08791075693634554,1.1300386939625175,0.034740882108033944
gaussian_white_noise,1,1,64,1000,0.09905403522252332,1.127493449293506,0.0
gaussian_white_noise,1,1,65,1000,0.025565156621897955,1.1329295131149286,0.049016318615101806
gaussian_white_noise,1,1,66,1000,0.048922775385848105,1.1276757705829163,0.020367330813151785
gaussian_white_noise,1,1,67,1000,0.10773479622347537,1.1278505595344492,0.0
gaussian_white_noise,1,1,68,1000,0.05751387867927349,1.1421097859028078,0.004289561732337077
gaussian_white_noise,1,1,69,1000,0.06820147119502007,1.1170919237183825,0.009219098628360456
gaussian_white_noise,1,1,70,1000,0.03513753998934721,1.1204167357124624,0.00917594314686676
gaussian_white_noise,1,1,71,1000,0.04243547950791804,1.1257223048857694,0.011643184823942221
gaussian_white_noise,1,1,72,1000,0.07275319075954823,1.1340859199064157,0.0
gaussian_white_noise,1,1,73,1000,0.029926954186865196,1.1238861095360981,0.004009918528799172
gaussian_white_noise,1,1,74,1000,0.0425501229510008,1.114495073655454,0.014218506023551125
gaussian_white_noise,1,1,75,1000,0.05224325829950516,1.1234592718053351,0.015965037024543438
gaussian_white_noise,1,1,76,1000,0.07969338404047477,1.1132564743926503,0.0
gaussian_white_noise,1,1,77,1000,0.03476312908547108,1.1227452778979536,0.017980969953320436
gaussian_white_noise,1,1,78,1000,0.11094103294468116,1.1381831790852672,0.0
gaussian_white_noise,1,1,79,1000,0.1262264226048746,1.1281364445050288,0.0
gaussian_white_noise,1,1,80,1000,0.08011363978297581,1.1279037962068341,0.05472134433649778
gaussian_white_noise,1,1,81,1000,0.09284520515192085,1.1305011785550703,0.010921621825954908
gaussian_white_noise,1,1,82,1000,0.08195343244482434,1.125212240659572,0.0283936077424225
gaussian_white_noise,1,1,83,1000,0.03257464327676374,1.1328174116835126,0.00836698429544791
gaussian_white_noise,1,1,84,1000,0.024903988631143292,1.1461780634943544,0.0
gaussian_white_noise,1,1,85,1000,0.03947652986717998,1.14337321739595,0.0011459329726974943
gaussian_white_noise,1,1,86,1000,0.058973351611472324,1.1251244494968118,0.02539742346795215
gaussian_white_noise,1,1,87,1000,0.1300088651106357,1.1180865907975286,0.023559722172393993
gaussian_white_noise,1,1,88,1000,0.06896686694573706,1.1309715624724799,0.0
gaussian_white_noise,1,1,89,1000,0.08426624021208617,1.1456556062424057,0.03441128257379056
